,vv_list,vh_list,vv/vh_list
10,"[0.14561210572719574, 0.1620480716228485, 0.2141726315021515, 0.12041537463665009, 0.5955386757850647, 0.19147881865501404, 0.1082109585404396, 0.1989777684211731, 0.17342813313007355, 0.07216119021177292, 0.29215899109840393, 0.015770073980093002, 0.050667654722929, 0.018397986888885498]","[0.008461344055831432, 0.017765795812010765, 0.03292505070567131, 0.034738846123218536, 0.024327477440238, 0.04200703650712967, 0.01001008041203022, 0.024094564840197563, 0.04854505881667137, 0.03195154294371605, 0.07028360664844513, 0.002477500354871154, 0.0020557346288114786, 0.004130651708692312]","[17.209098786952417, 9.121351688242083, 6.50485350551823, 3.4663032332604624, 24.480083364501866, 4.558255820367504, 10.810198728312965, 8.25820137200459, 3.5725187559256755, 2.2584571373873183, 4.156858263688255, 6.3653165373262475, 24.646982160446687, 4.454015537105151]"
11,"[0.425798624753952, 0.20419500768184662, 0.2700318694114685, 0.07052227109670639, 0.05386568233370781, 0.019575215876102448, 0.1109783947467804, 0.09198149293661118, 0.061583347618579865, 0.04789431393146515, 0.16759520769119263, 0.06815044581890106, 0.1674119085073471, 0.08249429613351822]","[0.028953831642866135, 0.019752955064177513, 0.03690004348754883, 0.02552364207804203, 0.017592180520296097, 0.016853980720043182, 0.016830047592520714, 0.01305972971022129, 0.02451288513839245, 0.02812924049794674, 0.05708707496523857, 0.020509203895926476, 0.00748594943434, 0.0016419135499745607]","[14.706123528174329, 10.337441006594474, 7.317928216062544, 2.7630175537282216, 3.061910504588273, 1.1614594914555172, 6.594063037355835, 7.043139098401187, 2.512284754360763, 1.7026522253582046, 2.935782010082748, 3.322920097958413, 22.363483747216495, 50.24277687141102]"
12,"[0.08081086724996567, 0.07632830739021301, 0.40021494030952454, 0.2676762342453003, 0.1450771987438202, 0.1778733879327774, 0.1027553379535675, 0.04793316870927811, 0.02513742260634899, 0.055187154561281204, 0.07863301038742065, 0.07274970412254333, 0.030218590050935745, 0.07912299036979675, 0.06903903931379318, 0.27771633863449097, 0.037668969482183456, 0.021452492102980614]","[0.011586963199079037, 0.011165277101099491, 0.016814174130558968, 0.020260319113731384, 0.009376566857099533, 0.0596245601773262, 0.017389068379998207, 0.0326923206448555, 0.009437866508960724, 0.02931508794426918, 0.01878366433084011, 0.016730649396777153, 0.018606357276439667, 0.014990738593041897, 0.03772079199552536, 0.032557062804698944, 0.004910796880722046, 0.004241920541971922]","[6.974292216306403, 6.836221501631755, 23.802235970790427, 13.211846898496448, 15.472315289254722, 2.983223480454593, 5.909191666171256, 1.4661904619738557, 2.663464521614331, 1.882551219569845, 4.186244441044254, 4.348289322024596, 1.6241002793813966, 5.278124882153738, 1.8302648396667536, 8.530141072627973, 7.6706429520752035, 5.057259298168771]"
13,"[0.020300686359405518, 0.014695975929498672, 0.38347288966178894, 0.24351166188716888, 0.04215912148356438, 0.040796201676130295, 0.02786487527191639, 0.027349652722477913, 0.017676377668976784, 0.02925974689424038, 0.05599123612046242, 0.09430517256259918, 0.052057720720767975, 0.0982780009508133, 0.5494375228881836, 0.074453204870224, 0.01349139679223299, 0.008962676860392094]","[0.008448311127722263, 0.004769021645188332, 0.024956149980425835, 0.009406142868101597, 0.031259141862392426, 0.01870128884911537, 0.01594645529985428, 0.030285878106951714, 0.007264856714755297, 0.014367345720529556, 0.019992399960756302, 0.011912149377167225, 0.015070074237883091, 0.019627060741186142, 0.020073609426617622, 0.008635471574962139, 0.00485612079501152, 0.004090889822691679]","[2.4029283548508182, 3.081549429394196, 15.365867329798986, 25.888577847671566, 1.3486973400983093, 2.1814647110838075, 1.74740246330299, 0.9030496862562545, 2.433135072447493, 2.0365450559480176, 2.8006260494172457, 7.916721791900957, 3.4543771914477692, 5.007270433752882, 27.3711374577025, 8.621787961886774, 2.7782251228371644, 2.1908868849699132]"
14,"[0.01164826937019825, 0.022554520517587662, 0.1817668378353119, 0.17554180324077606, 0.08151016384363174, 0.06854379177093506, 0.06343443691730499, 0.13125507533550262, 0.09774737805128098, 0.04698701575398445, 0.03472161665558815, 0.03970874100923538, 0.15323662757873535, 0.10478056967258453, 0.107033371925354, 0.22049836814403534, 0.26202431321144104, 0.23598113656044006]","[0.00501716835424304, 0.003096177475526929, 0.009542716667056084, 0.0074829282239079475, 0.03023681603372097, 0.03355969861149788, 0.02501470036804676, 0.027497565373778343, 0.01772981509566307, 0.02003086544573307, 0.008725157007575035, 0.022203966975212097, 0.036040883511304855, 0.019694505259394646, 0.015801137313246727, 0.08051875978708267, 0.06557527184486389, 0.042977698147296906]","[2.321681982297297, 7.284634261396524, 19.047703518518773, 23.458971940946885, 2.6957257587151124, 2.0424436036934877, 2.5358863381923524, 4.773334422569183, 5.513163985291148, 2.3457306865387344, 3.9794833061964874, 1.7883624603461685, 4.251744481532202, 5.3202945843284, 6.773776456940453, 2.7384719874859407, 3.9957792905735974, 5.490781189622231]"
15,"[0.2860001027584076, 0.23782339692115784, 0.2430362105369568, 0.044740937650203705, 0.051866814494132996, 0.07802209258079529, 0.04556552320718765, 0.04073619097471237, 0.03685372695326805, 0.11739200353622437, 0.13758422434329987, 0.010752077214419842, 0.043650072067976, 0.0026444531977176666]","[0.010959423147141933, 0.026460450142621994, 0.016289474442601204, 0.046006061136722565, 0.040587373077869415, 0.02872282639145851, 0.03752640634775162, 0.028856713324785233, 0.032643452286720276, 0.018122101202607155, 0.05060253664851189, 0.003468235954642296, 0.0070046428591012955, 0.005567328538745642]","[26.096273400392654, 8.987881749527624, 14.919831293105075, 0.9725009388923969, 1.2779051848126082, 2.7163793533911136, 1.2142255985009258, 1.4116711947137712, 1.128977616385892, 6.477836219087864, 2.718919513837177, 3.1001573581024653, 6.231591381031003, 0.4749949961303129]"
16,"[0.17601342499256134, 0.1803615391254425, 0.43203720450401306, 0.13975872099399567, 0.05198449268937111, 0.05414848402142525, 0.12000942975282669, 0.1094321683049202, 0.1100003719329834, 0.09408140182495117, 0.029181189835071564, 0.027957560494542122, 0.13819141685962677, 0.3599577844142914, 0.14502747356891632, 0.13328824937343597, 0.020707594230771065, 0.018120771273970604]","[0.022679714486002922, 0.05835458263754845, 0.02452297881245613, 0.008628446608781815, 0.013823150657117367, 0.03289975970983505, 0.048500873148441315, 0.009562291204929352, 0.04721532762050629, 0.017699602991342545, 0.03827468305826187, 0.017458803951740265, 0.12217357009649277, 0.01146258320659399, 0.01053736824542284, 0.0050417156890034676, 0.003604552475735545, 0.005698208697140217]","[7.760830723913667, 3.0907862068983127, 17.617647831778303, 16.197437074218293, 3.760683362197528, 1.6458625989671924, 2.474376685663513, 11.444136761753084, 2.3297597936227956, 5.315452661337628, 0.7624149307951641, 1.6013445463860287, 1.1311072988248039, 31.402850293572683, 13.763158901836091, 26.43708165935501, 5.744844712392617, 3.1800820638712213]"
17,"[0.35435983538627625, 0.515623927116394, 0.224607452750206, 0.19706040620803833, 0.1517748385667801, 0.22151151299476624, 0.04689742997288704, 0.12806400656700134, 0.0187104269862175, 0.022960394620895386, 0.08224453777074814, 0.058903954923152924, 0.11206792294979095, 0.12746742367744446, 0.22020815312862396, 0.018534783273935318, 0.11752837896347046, 0.10756940394639969]","[0.019265729933977127, 0.016535373404622078, 0.017358655110001564, 0.028289027512073517, 0.03986264392733574, 0.015690237283706665, 0.03238874301314354, 0.034291792660951614, 0.035591550171375275, 0.032370805740356445, 0.0260513536632061, 0.00805614609271288, 0.02499641291797161, 0.03997167944908142, 0.030001100152730942, 0.009433502331376076, 0.0036016807425767183, 0.009251954965293407]","[18.393273268163366, 31.183083351009383, 12.939219733721972, 6.965966084339047, 3.807445357699938, 14.117792420181699, 1.4479546166350385, 3.734538110421653, 0.5256985687930354, 0.7092932689120812, 3.1570159015155923, 7.311679088892642, 4.483360205224396, 3.188943407790031, 7.340002600157276, 1.9647828158464693, 32.63153715267617, 11.626667482701947]"
18,"[0.3361836373806, 0.14753217995166779, 0.289449006319046, 0.026022547855973244, 0.0666377916932106, 0.07053537666797638, 0.13617174327373505, 0.04606452211737633, 0.08527414500713348, 0.3732006251811981, 0.19874757528305054, 0.106604665517807, 0.1382412612438202, 0.2038920372724533]","[0.02514147385954857, 0.036563973873853683, 0.0519830659031868, 0.04406426474452019, 0.04289183393120766, 0.019356856122612953, 0.05942779406905174, 0.046219147741794586, 0.042964838445186615, 0.039552200585603714, 0.08081293106079102, 0.005914245266467333, 0.01174456998705864, 0.010778497904539108]","[13.371675791907467, 4.0349055182201, 5.568140341281823, 0.590558993934181, 1.5536242120140642, 3.643947974876765, 2.2913814218900868, 0.9966545115612672, 1.9847425963424474, 9.435647565891351, 2.4593536291060145, 18.025066718527142, 11.770653280294507, 18.916553964962876]"
19,"[0.37158912420272827, 0.13609258830547333, 0.2891002297401428, 0.06923791021108627, 0.041483499109745026, 0.02168378420174122, 0.12148911505937576, 0.07418607175350189, 0.09460137039422989, 0.1730911284685135, 0.18683180212974548, 0.10876516997814178, 0.15235565602779388, 0.0946420431137085]","[0.03404010459780693, 0.02125353366136551, 0.020339541137218475, 0.005838669370859861, 0.031155157834291458, 0.028927341103553772, 0.026093969121575356, 0.02586836740374565, 0.006088101305067539, 0.044985052198171616, 0.02372574247419834, 0.002965804422274232, 0.009813949465751648, 0.006406059954315424]","[10.916215698898537, 6.403292293594513, 14.213704615544664, 11.858508473976084, 1.3315130461026103, 0.7495947907592976, 4.6558311805054045, 2.8678296776765277, 15.53873131438972, 3.847747640838542, 7.874645117341402, 36.67307566246688, 15.524397854246033, 14.773830371342864]"
20,"[0.2558147609233856, 0.0690777450799942, 0.10579119622707367, 0.06159493699669838, 0.07126829028129578, 0.03437265753746033, 0.13174693286418915, 0.120047926902771, 0.0822836309671402, 0.21965382993221283, 0.2730349898338318, 0.27048778533935547, 0.2156742662191391, 0.20030644536018372]","[0.020758608356118202, 0.023528384044766426, 0.035689231008291245, 0.030407851561903954, 0.035992641001939774, 0.02039444074034691, 0.06762733310461044, 0.017813678830862045, 0.02330903336405754, 0.13385330140590668, 0.04517173022031784, 0.028475424274802208, 0.03403118997812271, 0.016782883554697037]","[12.32330975828585, 2.93593240184124, 2.964232997973436, 2.0256260746111616, 1.9800794911786237, 1.6853934841890472, 1.9481314258007818, 6.7390867457871195, 3.5301176879355842, 1.64100420105529, 6.044377501197045, 9.498990523512903, 6.337547007841555, 11.935162673766143]"
21,"[0.13408289849758148, 0.17779208719730377, 0.08975894749164581, 0.2056124210357666, 0.08437991142272949, 0.2652071714401245, 0.03738616406917572, 0.03896542638540268, 0.14685393869876862, 0.12827931344509125, 0.07128535211086273, 0.09711528569459915, 0.43881428241729736, 0.2086268812417984, 0.28000760078430176, 0.4299069046974182, 0.3478032648563385, 0.05260113999247551]","[0.0048621599562466145, 0.00624760752543807, 0.019270535558462143, 0.0344606414437294, 0.023070449009537697, 0.06532399356365204, 0.014747297391295433, 0.020369408652186394, 0.01685776561498642, 0.020847495645284653, 0.014982894994318485, 0.03679535910487175, 0.0242146123200655, 0.019534697756171227, 0.07023799419403076, 0.006945344619452953, 0.019331147894263268, 0.007577930111438036]","[27.57681764980186, 28.457627415518125, 4.65783357288327, 5.966587167900228, 3.657488910937341, 4.0598738223453115, 2.5351196953038215, 1.912938517300562, 8.711352503810863, 6.153224139135668, 4.757782266904637, 2.639335178597047, 18.121879327123185, 10.67981106469338, 3.9865546275536787, 61.89857066175064, 17.991857843038538, 6.941359872543557]"
22,"[0.38113123178482056, 0.1745888739824295, 0.06243894621729851, 0.06591571122407913, 0.13379180431365967, 0.04287002608180046, 0.11610956490039825, 0.12103341519832611, 0.03512270376086235, 0.0877450481057167, 0.30953532457351685, 0.11858177930116653, 0.06823766231536865, 0.04482971876859665]","[0.010837855748832226, 0.014385219663381577, 0.04164627194404602, 0.016598505899310112, 0.0353999026119709, 0.0269066970795393, 0.04068093001842499, 0.01751992665231228, 0.030742323026061058, 0.03163456171751022, 0.06325221806764603, 0.042195770889520645, 0.01182485930621624, 0.008146687410771847]","[35.16666401708542, 12.13668460182473, 1.4992685612097176, 3.971183407948712, 3.779439897905718, 1.593284599557936, 2.854152175179145, 6.908328876043104, 1.142486978979693, 2.77370835383341, 4.893667511271774, 2.8102764045156103, 5.770695493983309, 5.502815624092949]"
23,"[0.7250374555587769, 0.23676221072673798, 0.2891215980052948, 0.026041831821203232, 0.07882744818925858, 0.10564059019088745, 0.06619132310152054, 0.054916348308324814, 0.2647177278995514, 0.3708743155002594, 0.23195980489253998, 0.14683964848518372, 0.3254079520702362, 0.3847663104534149]","[0.021626845002174377, 0.02127528376877308, 0.0506879985332489, 0.03892426937818527, 0.05223375931382179, 0.029649291187524796, 0.03765230253338814, 0.07554593682289124, 0.053711745887994766, 0.11079157143831253, 0.047173745930194855, 0.02364073507487774, 0.02214912697672844, 0.03518810495734215]","[33.52488333300031, 11.128510120003526, 5.703945832772325, 0.6690384235136889, 1.5091283726231766, 3.563005588320326, 1.7579621602908735, 0.7269265643904831, 4.928488611254006, 3.3474957587974816, 4.917137706973313, 6.211297915233844, 14.691682991033218, 10.934556177999912]"
24,"[0.01950932666659355, 0.5139065384864807, 0.27373701333999634, 0.06605593860149384, 0.1364210546016693, 0.16382870078086853, 0.055988091975450516, 0.1481141746044159, 0.12914890050888062, 0.09947305172681808, 0.07863005250692368, 0.2813218832015991, 0.05037234351038933, 0.07109910249710083]","[0.003195028519257903, 0.025028903037309647, 0.014355720952153206, 0.03223757818341255, 0.04873267933726311, 0.006834255065768957, 0.015348676592111588, 0.015387958846986294, 0.021944915875792503, 0.028976043686270714, 0.05173853039741516, 0.03414497897028923, 0.006115419790148735, 0.007769955787807703]","[6.106151024631513, 20.532523447808302, 19.068148109896125, 2.049035390489789, 2.7993752130381204, 23.971698334972128, 3.6477471943232844, 9.625329524027405, 5.885139922151405, 3.4329411152133895, 1.5197581358215773, 8.239041044552623, 8.236939611493819, 9.150515709325738]"
25,"[0.08376641571521759, 0.32514524459838867, 0.1696627289056778, 0.020707810297608376, 0.09520445764064789, 0.04916777461767197, 0.012766973115503788, 0.04128966107964516, 0.06496059894561768, 0.053329840302467346, 0.22936828434467316, 0.25025179982185364, 0.09408259391784668, 0.13236035406589508]","[0.0058180661872029305, 0.011618917807936668, 0.003923649434000254, 0.04922211170196533, 0.028499500826001167, 0.02568598836660385, 0.0066063678823411465, 0.02880534715950489, 0.029994703829288483, 0.04560448229312897, 0.0412147082388401, 0.0383559986948967, 0.002907471265643835, 0.034720323979854584]","[14.397638840799917, 27.98412468124079, 43.241051923617604, 0.4207013795546191, 3.34056579523629, 1.9141865952722468, 1.9325253063230052, 1.4334026544103227, 2.1657356350418957, 1.1693990945820325, 5.565204611312037, 6.524450107856268, 32.358907559835465, 3.8121866069767427]"
26,"[0.2424081712961197, 0.3222704231739044, 0.1071065217256546, 0.2382391393184662, 0.0249777901917696, 0.04805866628885269, 0.06422489136457443, 0.058476150035858154, 0.0260948296636343, 0.03508950024843216, 0.02679990604519844, 0.03827238827943802, 0.22124823927879333, 0.3991104066371918, 0.1010422557592392, 0.35211506485939026, 0.031911883503198624, 0.016865599900484085]","[0.026987677440047264, 0.04091817885637283, 0.03422930836677551, 0.034271158277988434, 0.016855161637067795, 0.037760958075523376, 0.0492231547832489, 0.029417259618639946, 0.01806408166885376, 0.02512306720018387, 0.02353883907198906, 0.010414188727736473, 0.05458001047372818, 0.03779773414134979, 0.0792597159743309, 0.008835773915052414, 0.0036323387175798416, 0.00911840982735157]","[8.982179805380657, 7.875971809623002, 3.1290881071268433, 6.9515928637720314, 1.4819074850542255, 1.272707810875283, 1.3047699126028136, 1.987817723130313, 1.444569956115025, 1.3967044695949924, 1.1385398389120223, 3.675023497270203, 4.053649630303572, 10.559109314454243, 1.2748248529172475, 39.85107227104752, 8.785492208849098, 1.849620736490046]"
27,"[0.06881015002727509, 0.08447088301181793, 0.32176339626312256, 0.2598380148410797, 0.3428915739059448, 0.3802948296070099, 0.03826121240854263, 0.05313379317522049, 0.03206104412674904, 0.12297195941209793, 0.06408334523439407, 0.06894125789403915, 0.07796913385391235, 0.050181034952402115, 0.0642070397734642, 0.05631067976355553, 0.3801827132701874, 0.38756540417671204]","[0.011922174133360386, 0.018070107325911522, 0.016147645190358162, 0.008578766137361526, 0.00823293998837471, 0.00911085493862629, 0.04559747874736786, 0.017130348831415176, 0.03425643593072891, 0.06420710682868958, 0.01590084098279476, 0.0496654137969017, 0.029134433716535568, 0.04329580068588257, 0.04526000842452049, 0.059759508818387985, 0.018393829464912415, 0.034296683967113495]","[5.771610887206547, 4.674619884005415, 19.926335541187704, 30.288506608130376, 41.6487396227986, 41.740850026567294, 0.8391080704380236, 3.1017344537537355, 0.9359130118375639, 1.9152390675412045, 4.0301859067538865, 1.3881140339626032, 2.676184977971963, 1.159027761525256, 1.4186263327931417, 0.9422881960875278, 20.669035449927048, 11.300375410880594]"
28,"[0.025132237002253532, 0.016395417973399162, 0.1393318623304367, 0.048419296741485596, 0.2862791419029236, 0.29464101791381836, 0.06204261630773544, 0.10567948967218399, 0.12073363363742828, 0.19171400368213654, 0.13732656836509705, 0.15436451137065887, 0.05159329995512962, 0.057203564792871475, 0.10474856197834015, 0.036582209169864655, 0.41515541076660156, 0.19650255143642426]","[0.0027021353598684072, 0.006458129268139601, 0.004457478411495686, 0.006564864423125982, 0.004676136653870344, 0.005710987374186516, 0.030239589512348175, 0.027562987059354782, 0.03370760381221771, 0.014354894869029522, 0.03787962347269058, 0.023855924606323242, 0.025319894775748253, 0.02311253361403942, 0.03332175686955452, 0.02096625603735447, 0.10464809089899063, 0.022096287459135056]","[9.300880102274913, 2.538725580220881, 31.258000480968022, 7.375521202070742, 61.22129507613429, 51.59195750380863, 2.0517016701698503, 3.8341087431710976, 3.5817922362570007, 13.355305310926152, 3.6253414309702157, 6.470699162494128, 2.037658545269564, 2.475001907974463, 3.1435485946434896, 1.7448136236001348, 3.967157042237126, 8.893012086298963]"
29,"[0.08908089250326157, 0.008397454395890236, 0.013142270036041737, 0.014072158373892307, 0.2996910512447357, 0.25572794675827026, 0.25962918996810913, 0.1806936115026474, 0.11918741464614868, 0.12120957672595978, 0.026965653523802757, 0.04596065357327461, 0.06531020998954773, 0.08741161227226257, 0.04638175666332245, 0.22149518132209778, 0.16098013520240784, 0.21413922309875488]","[0.006103084422647953, 0.0023126027081161737, 0.007258693687617779, 0.0048197535797953606, 0.012631034478545189, 0.00932394340634346, 0.029615266248583794, 0.03156666085124016, 0.040013689547777176, 0.024545863270759583, 0.008316601626574993, 0.04125528782606125, 0.01911304146051407, 0.0510265976190567, 0.03038378432393074, 0.03345708176493645, 0.096928171813488, 0.12455952912569046]","[14.5960446119164, 3.631170354691286, 1.8105558109526565, 2.9196841998071177, 23.726564261524633, 27.427016189768814, 8.766734959896727, 5.724191492859419, 2.978665951407366, 4.938085712811391, 3.2423885060980084, 1.1140548519998679, 3.4170495640096377, 1.7130597835435006, 1.5265299466594573, 6.620277969198983, 1.6608188536989068, 1.7191717454444726]"
